personid,T_i,corr,sd_y,sd_x,sd_ratio,beta
A642000,43,0.24494348677169478,0.4364357804719847,0.6729678987942695,0.6485239210576459,0.15885171047871113
A506000,44,0.24346577352735413,0.4028177707701126,1.0066522863406753,0.40015581967673536,0.0974242461690688
A927000,46,0.2433455826761489,0.5577733510227171,0.5380470629226668,1.0366627558431363,0.2522673023593102
A815000,48,0.2404001551932743,0.6354620812743972,0.7085649772486927,0.8968296510248801,0.2155979872883112
A127000,41,0.23910684142200223,0.47369847361210593,1.291695043862516,0.36672624538034915,0.08768675419944542
A065000,46,0.23652169771350806,0.5163977794943222,0.5519586857051691,0.9355732464551849,0.22128337258691866
A420000,44,0.23647563398474533,0.43133109281375365,0.40609964791341585,1.062131166648333,0.25116814100812174
A330000,46,0.2353231784668877,0.5769317477361544,0.6611637812039396,0.8726003512860252,0.2053430881959502
A689000,50,0.2308283730956338,0.6060915267313265,0.4440959363232454,1.364776115154922,0.31502905030099
A140000,46,0.22709605487473059,0.6309260121838706,0.839318482564752,0.7517122823935855,0.17071089373246268
A572000,46,0.22699741507254093,0.493924440230492,0.5024624506423772,0.9830076647499336,0.22314019889472986
A059000,50,0.22637910767107197,0.5714285714285714,0.842279709621176,0.6784308881019789,0.15358257906501888
A394000,40,0.22492115515888803,0.15811388300841897,0.6772277395761039,0.233472248356789,0.05251284779795178
A221000,48,0.22373599867815055,0.5052911526399113,0.6738844061743069,0.7498187345044645,0.16776144339194338
A398000,40,0.22343241610733286,0.47971679679598994,0.7507241184045101,0.6390054415935332,0.1427745297209763
A115000,50,0.22290517102840113,0.6543418566056449,0.41178743300216575,1.5890282319572475,0.3542026098133881
A035000,46,0.22285137095559424,0.5145233712057288,0.7886888804402465,0.6523781226870113,0.14538335902223734
A973000,46,0.21978468341438578,0.4714045207910317,1.1550905245481795,0.4081104560834523,0.08969642738840215
A531000,46,0.21875394298359116,0.49392444023049203,1.1495012457827896,0.42968586771225153,0.09399547780638076
A930000,40,0.21720178423276917,0.5523841101337049,0.45972242265820473,1.2015600782309295,0.2609809928546236
A291000,44,0.2164286162111431,0.43133109281375365,0.7818617711881345,0.5516718027513909,0.11939756487219022
A780000,44,0.21304745580922715,0.4800458047207799,0.649224232023301,0.7394144904676798,0.15753037598261524
A895000,50,0.21153228412460456,0.47337261502231115,1.594257223829599,0.296923613044834,0.06280893007790397
A089000,48,0.21006860439330455,0.41256849850351734,1.0533589748313517,0.3916694197906955,0.08227744839896675
A215000,48,0.2089837623585749,0.6523280730534422,1.3771280237445618,0.4736873128757418,0.09899295682629594
A145000,41,0.2077739699379514,0.5238227218271837,0.5608832769014136,0.9339246566968977,0.1940452335448528
A491000,48,0.2074394200383917,0.41256849850351734,0.8367304815471192,0.49307215119099757,0.10228260108014271
A904000,44,0.20725860814924243,0.5493605739121922,2.378782586053767,0.2309419015983057,0.04786469708860414
A540000,46,0.20688119669011995,0.39379241202455384,0.46152803548211946,0.8532361671446288,0.176518519318172
A286000,48,0.2056913860023775,0.46126560401444255,0.7386216150045188,0.6244951334271751,0.12845326954637531
A839000,46,0.20503248721705097,0.5769317477361544,0.9534934353292807,0.6050715467557635,0.12405932417560234
A062000,47,0.2047123736119796,0.531174322574117,1.4404963757047142,0.3687439493308394,0.07548644912257169
A208000,42,0.20432456151168413,0.5843487097907776,1.55299810339662,0.37627136086819857,0.07688148081879934
A688000,50,0.20222733553257619,0.6388765649999399,1.1329201826055149,0.5639201903267691,0.11404007754280576
A899000,45,0.19951346509229045,0.5430925289022993,0.6692074241299483,0.8115458814707356,0.1619143308936037
A575000,47,0.19942625056754318,0.48853648798478383,0.6128054430401267,0.797213036426627,0.15898520675812844
A370000,48,0.19925596878386462,0.5457768229098153,2.2744379677662936,0.23996118190280571,0.04781369777056471
A199000,46,0.19899850619081644,0.5370342606402773,0.6598851806111486,0.8138298546770004,0.1619509253742123
A686000,48,0.19802499658289727,0.2917299829957891,0.8110137239346089,0.35971029143683264,0.07123162923261177
A167000,48,0.19798981916436684,0.5052911526399113,1.3875084340197916,0.36417159006091043,0.07210226726095958
A489000,47,0.19795098831950128,0.4662524041201569,0.8293128174477115,0.5622153598868672,0.11129108613800945
